,4 ≤ Category < 5,4 ≤ Category_JMR_up < 5
data,372838.0,
hh4b,,1.7
hh4b-kl2p45,,1.29
hh4b-kl5,,1.68
vbfhh4b,,0.03
vbfhh4b-k2v0,,10.86
vbfhh4b-kv1p74-k2v1p37-kl14p4,,15.14
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,21.46
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.03
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,1.83
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.21
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.95
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,22.78
ttbar,36275.61,
gghtobb,170.47,
vbfhtobb,22.23,
vhtobb,,89.31
novhhtobb,168.54,
tthtobb,105.02,
zz,,83.92
nozzdiboson,,194.44
vjets,8829.25,
