,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
qcd,578399.51,392319.45,208694.77,117638.61,0.05,1.04,0.03,0.03,0.0,23.36,1.81,751.99,247.25
data,546004.0,521166.0,302448.0,178514.0,1.0,4.0,2.0,1.0,0.0,39.0,11.0,2104.0,704.0
ttbar,39716.69,30932.88,23649.41,16919.13,0.21,1.71,1.0,0.56,0.0,20.09,9.23,1131.29,436.43
gghtobb,143.31,118.58,93.36,89.76,0.01,0.02,0.05,0.02,0.0,0.19,0.07,0.97,0.39
vbfhtobb,19.83,17.18,13.56,12.83,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.09,0.03
vhtobb,66.62,55.96,43.51,41.9,0.01,0.06,0.26,0.03,0.0,0.63,0.15,2.62,1.39
novhhtobb,163.14,134.01,105.34,101.08,0.01,0.02,0.05,0.02,0.0,0.2,0.08,1.02,0.4
tthtobb,88.8,73.45,55.13,46.09,0.01,0.04,0.1,0.02,0.0,0.44,0.18,4.38,1.79
diboson,451.33,338.31,195.06,115.04,0.0,0.06,0.01,0.0,0.0,0.38,0.0,4.59,1.11
vjets,12274.1,9039.16,5225.83,3260.21,0.0,0.0,0.0,0.0,0.0,0.55,0.37,28.45,7.43
hh4b,1.82,1.63,1.34,1.33,0.02,0.02,0.11,0.1,0.0,0.23,0.2,0.34,0.26
hh4b-kl0,2.11,1.86,1.53,1.52,0.02,0.02,0.11,0.1,0.0,0.25,0.21,0.37,0.3
hh4b-kl2p45,1.37,1.23,1.03,1.02,0.02,0.02,0.09,0.08,0.0,0.17,0.14,0.25,0.19
hh4b-kl5,1.76,1.58,1.2,1.14,0.01,0.02,0.06,0.06,0.0,0.12,0.11,0.21,0.16
vbfhh4b,0.04,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
vbfhh4b-k2v0,14.71,13.49,12.12,12.01,3.28,3.67,0.93,0.81,0.0,0.93,0.81,2.7,2.24
vbfhh4b-kv1p74-k2v1p37-kl14p4,20.81,18.65,16.42,15.81,4.98,5.53,0.88,0.75,0.0,0.57,0.5,3.02,2.55
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,27.54,25.18,21.82,21.43,4.29,4.83,1.8,1.56,0.0,2.08,1.8,4.71,3.84
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.03,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,2.49,2.28,2.06,2.04,0.59,0.66,0.16,0.14,0.0,0.14,0.13,0.43,0.36
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.26,0.23,0.2,0.19,0.04,0.04,0.01,0.01,0.0,0.01,0.01,0.03,0.03
vbfhh4b-kvm1p83-k2v3p57-klm3p39,1.52,1.37,1.16,1.12,0.21,0.23,0.08,0.07,0.0,0.09,0.08,0.2,0.16
vbfhh4b-kvm2p12-k2v3p87-klm5p96,2.44,2.23,1.9,1.86,0.32,0.36,0.15,0.14,0.0,0.2,0.17,0.42,0.35
