,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300,BDT > min,Bin VBF [105-150],Bin VBF,Bin 1,Bin 1 [105-150],VBF & Bin 1 overlap,Bin 2,Bin 2 [105-150],Bin 3,Bin 3 [105-150]
qcd,1584706.05,1624469.09,772889.33,431817.74,0.87,3.12,0.73,0.23,0.0,44.98,9.68,2233.46,652.38
data,2354739.0,2354739.0,1192567.0,712316.0,2.0,6.0,13.0,5.0,0.0,136.0,45.0,7451.0,2457.0
ttbar,119455.4,122167.8,85509.36,63420.18,1.44,4.5,2.44,1.29,0.0,58.58,27.3,3283.79,1325.02
gghtobb,413.94,409.74,321.48,307.02,0.0,0.11,0.17,0.08,0.0,0.35,0.16,2.53,0.88
vbfhtobb,56.85,57.22,44.53,41.3,0.03,0.03,0.03,0.03,0.0,0.01,0.0,0.14,0.04
vhtobb,201.48,199.61,153.58,147.74,0.04,0.22,0.65,0.11,0.0,1.95,0.52,8.32,4.53
novhhtobb,470.79,475.57,374.84,357.83,0.03,0.13,0.24,0.13,0.0,0.37,0.17,2.56,0.88
tthtobb,282.85,279.42,198.65,166.46,0.02,0.09,0.29,0.15,0.0,1.43,0.52,13.14,5.46
diboson,1302.71,1332.27,684.94,413.42,0.0,0.0,0.06,0.0,0.0,0.33,0.03,14.16,2.51
vjets,35778.89,36711.33,18240.92,11502.64,0.03,0.04,0.04,0.0,0.0,2.21,0.64,111.74,32.29
hh4b,5.56,5.7,4.64,4.62,0.06,0.07,0.37,0.33,0.0,0.79,0.67,1.1,0.86
hh4b-kl0,6.55,6.7,5.39,5.34,0.07,0.08,0.4,0.35,0.0,0.86,0.74,1.26,0.98
hh4b-kl2p45,3.52,3.61,2.96,2.92,0.05,0.06,0.23,0.2,0.0,0.49,0.42,0.7,0.55
hh4b-kl5,4.64,4.65,3.6,3.42,0.04,0.05,0.18,0.16,0.0,0.38,0.32,0.59,0.45
vbfhh4b,0.11,0.11,0.09,0.09,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.02,0.01
vbfhh4b-k2v0,44.56,47.56,42.64,42.28,12.01,13.37,3.21,2.83,0.0,3.26,2.87,9.04,7.6
vbfhh4b-k2v2,39.84,42.51,38.12,37.79,10.87,12.09,3.0,2.7,0.0,2.84,2.48,7.83,6.62
vbfhh4b-kl2,0.14,0.14,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
vbfhh4b-kv1p74-k2v1p37-kl14p4,62.15,66.08,57.78,55.67,18.1,20.15,3.18,2.83,0.0,2.18,1.95,10.18,8.61
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.03,0.03,0.03,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,84.31,88.65,77.17,75.94,16.11,18.0,6.23,5.48,0.01,7.81,6.91,16.01,13.17
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.1,0.11,0.09,0.08,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,7.55,8.08,7.28,7.21,2.18,2.42,0.55,0.48,0.0,0.51,0.45,1.47,1.25
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.8,0.84,0.71,0.69,0.14,0.16,0.04,0.04,0.0,0.04,0.04,0.11,0.09
vbfhh4b-kvm2p12-k2v3p87-klm5p96,7.49,7.84,6.74,6.62,1.13,1.27,0.54,0.48,0.0,0.73,0.62,1.47,1.2
