,4 ≤ Category < 5,4 ≤ Category_JES_AbsoluteScale_down < 5
data,400364.0,
hh4b,,1.37
hh4b-kl0,,1.65
hh4b-kl2p45,,1.03
hh4b-kl5,,1.6
vbfhh4b,,0.03
vbfhh4b-k2v0,,7.95
vbfhh4b-k2v2,,0.0
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,12.38
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,0.0
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.03
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.0
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.0
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,2.5
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,1.51
qcd,253704.47,
ttbar,,35164.09
gghtobb,,187.91
vbfhtobb,,26.23
vhtobb,,80.82
novhhtobb,,210.53
tthtobb,,94.06
diboson,,239.54
vjets,,6962.39
