,3 ≤ Category < 4,3 ≤ Category_JMR_down < 4
data,332.0,
hh4b,,0.28
hh4b-kl0,,0.37
hh4b-kl2p45,,0.21
hh4b-kl5,,0.16
vbfhh4b,,0.0
vbfhh4b-k2v0,,1.9
vbfhh4b-kv1p74-k2v1p37-kl14p4,,1.99
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,3.46
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.29
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.02
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.1
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,3.8
ttbar,109.33,
gghtobb,0.44,
vbfhtobb,0.0,
vhtobb,,3.0
novhhtobb,0.42,
tthtobb,0.77,
diboson,,3.52
vjets,15.88,
