,1 ≤ Category < 2,1 ≤ Category_JER_down < 2
data,4.0,
hh4b,,0.26
hh4b-kl0,,0.33
hh4b-kl2p45,,0.2
hh4b-kl5,,0.15
vbfhh4b,,0.01
vbfhh4b-k2v0,,4.89
vbfhh4b-kv1p74-k2v1p37-kl14p4,,6.2
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,7.13
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.91
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.06
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.28
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,6.97
ttbar,,0.47
gghtobb,,0.07
vbfhtobb,,0.02
vhtobb,,0.73
novhhtobb,,0.07
tthtobb,,0.11
zz,,0.14
nozzdiboson,,0.0
vjets,,-0.26
