,3 ≤ Category < 4
data,584.0
hh4b,0.31
hh4b-kl0,0.4
hh4b-kl2p45,0.23
hh4b-kl5,0.19
vbfhh4b,0.0
vbfhh4b-k2v0,1.98
vbfhh4b-kv1p74-k2v1p37-kl14p4,1.95
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,3.48
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,0.31
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.02
vbfhh4b-kvm1p83-k2v3p57-klm3p39,0.11
vbfhh4b-kvm2p12-k2v3p87-klm5p96,4.01
ttbar,164.28
gghtobb,0.52
vbfhtobb,0.01
vhtobb,3.51
novhhtobb,0.52
tthtobb,0.97
zz,3.86
nozzdiboson,0.65
vjets,18.1
