,4 ≤ Category < 5,4 ≤ Category_JES_up < 5
data,653365.0,
hh4b,,2.59
hh4b-kl0,,3.52
hh4b-kl2p45,,1.97
hh4b-kl5,,2.59
vbfhh4b,,0.05
vbfhh4b-k2v0,,16.47
vbfhh4b-kv1p74-k2v1p37-kl14p4,,22.52
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,32.17
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.05
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,2.85
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.35
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,1.46
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,36.23
ttbar,,58159.46
gghtobb,,268.27
vbfhtobb,,35.55
vhtobb,,147.82
novhhtobb,,299.07
tthtobb,,159.0
zz,,121.23
nozzdiboson,,326.22
vjets,,15383.48
