,4 ≤ Category < 5,4 ≤ Category_JMR_down < 5
data,653321.0,
hh4b,,2.91
hh4b-kl0,,3.94
hh4b-kl2p45,,2.2
hh4b-kl5,,2.83
vbfhh4b,,0.05
vbfhh4b-k2v0,,18.69
vbfhh4b-kv1p74-k2v1p37-kl14p4,,25.84
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,37.27
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.05
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,3.13
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.39
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,1.62
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,40.33
ttbar,58971.57,
gghtobb,270.22,
vbfhtobb,35.11,
vhtobb,,162.64
novhhtobb,327.46,
tthtobb,166.88,
diboson,,484.91
vjets,16005.27,
