,2 ≤ Category < 3,2 ≤ Category_JMR_up < 3
data,136.0,
hh4b,,0.78
hh4b-kl0,,0.85
hh4b-kl2p45,,0.48
hh4b-kl5,,0.38
vbfhh4b,,0.01
vbfhh4b-k2v0,,3.32
vbfhh4b-k2v2,,5.42
vbfhh4b-kl2,,0.01
vbfhh4b-kv1p74-k2v1p37-kl14p4,,2.3
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,11.15
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.74
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.06
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.0
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.75
ttbar,58.58,
gghtobb,0.35,
vbfhtobb,0.01,
vhtobb,,2.02
novhhtobb,0.43,
tthtobb,1.43,
diboson,,0.75
vjets,2.21,
