,0 ≤ Category < 1,0 ≤ Category_JER_up < 1
data,8.0,
hh4b,,0.04
hh4b-kl0,,0.04
hh4b-kl2p45,,0.04
hh4b-kl5,,0.03
vbfhh4b,,0.01
vbfhh4b-k2v0,,7.66
vbfhh4b-k2v2,,0.0
vbfhh4b-kl2,,0.0
vbfhh4b-kv1p74-k2v1p37-kl14p4,,11.49
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,0.0
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.0
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.0
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,1.11
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,0.75
qcd,1.22,
ttbar,,3.46
gghtobb,,0.05
vbfhtobb,,0.03
vhtobb,,0.13
novhhtobb,,0.08
tthtobb,,0.08
diboson,,0.02
vjets,,0.03
